name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
MEGA,2023-01-26,50.75,51.00,51.25,50.25,51.00,2923093,148702.56,0.50,65.75,35.75,+0.25,+0.49
MINT,2023-01-26,33.75,34.00,34.25,33.75,34.00,15397548,523303.23,1.00,43.75,23.70,+0.25,+0.74
MST,2023-01-26,11.30,11.30,11.40,11.30,11.30,8301,93.83,5.00,14.60,7.95,0.00,0.00
MTC,2023-01-26,39.00,39.00,39.00,38.00,38.25,9588527,368950.14,1.00,50.50,27.50,-0.75,-1.92
NER,2023-01-26,6.55,6.60,6.70,6.50,6.65,18661582,123614.65,0.50,8.50,4.60,+0.10,+1.53
NOBLE,2023-01-26,5.80,5.75,5.80,5.70,5.75,2403420,13832.40,1.00,7.50,4.06,-0.05,-0.86
OISHI,2023-01-26,48.00,48.00,48.25,48.00,48.25,1800,86.58,1.00,62.25,33.75,+0.25,+0.52
ONEE,2023-01-26,7.90,7.95,7.95,7.65,7.75,10694066,83089.69,2.00,10.20,5.55,-0.15,-1.90
OR,2023-01-26,23.00,23.10,23.20,22.80,22.80,24615732,563679.25,10.00,29.75,16.10,-0.20,-0.87
ORI,2023-01-26,11.80,11.70,11.80,11.50,11.60,6316851,73219.14,0.50,15.30,8.30,-0.20,-1.69
OSP,2023-01-26,29.50,29.50,29.75,29.00,29.25,7875848,231128.29,1.00,38.25,20.70,-0.25,-0.85
PAP,2023-01-26,3.94,3.96,3.96,3.92,3.94,122717,482.27,1.00,5.10,2.76,0.00,0.00
PCSGH,2023-01-26,5.40,5.45,5.45,5.30,5.35,153901,827.25,1.00,7.00,3.78,-0.05,-0.93
PDG,2023-01-26,3.48,3.42,3.46,3.42,3.46,17319,59.54,0.50,4.52,2.44,-0.02,-0.57
PLANB,2023-01-26,8.60,8.70,8.95,8.40,8.55,104694750,900497.13,0.10,11.10,6.05,-0.05,-0.58
POPF,2023-01-26,11.50,11.50,11.60,11.50,11.50,481800,5541.23,10.00,14.90,8.05,0.00,0.00
PREB,2023-01-26,8.50,8.45,8.50,8.45,8.50,45101,382.25,1.00,11.00,5.95,0.00,0.00
PRM,2023-01-26,7.85,7.90,8.00,7.80,7.85,19054565,150905.84,1.00,10.20,5.50,0.00,0.00
PSH,2023-01-26,13.20,13.20,13.20,13.00,13.10,1332941,17481.89,1.00,17.10,9.25,-0.10,-0.76
PSL,2023-01-26,16.00,16.00,16.00,15.80,15.80,3376110,53614.57,1.00,20.80,11.20,-0.20,-1.25
PTG,2023-01-26,13.60,13.60,13.60,13.20,13.40,17051191,228144.97,1.00,17.60,9.55,-0.20,-1.47
PTL,2023-01-26,25.50,25.50,25.50,25.00,25.00,3202706,80504.38,1.00,33.00,17.90,-0.50,-1.96
PTT,2023-01-26,33.50,33.25,33.50,33.00,33.25,50617793,1682543.14,1.00,43.50,23.50,-0.25,-0.75
PTTEP,2023-01-26,172.00,171.00,172.00,170.00,171.00,5707094,974208.73,1.00,223.00,120.50,-1.00,-0.58
PTTGC,2023-01-26,51.25,51.00,51.00,49.25,49.75,24638391,1226704.34,10.00,66.50,36.00,-1.50,-2.93
QH,2023-01-26,2.34,2.34,2.34,2.30,2.34,37238522,86520.87,1.00,3.04,1.64,0.00,0.00
RATCH,2023-01-26,43.75,43.75,43.75,42.75,43.00,6405301,275515.00,10.00,56.75,30.75,-0.75,-1.71
RBF,2023-01-26,12.70,12.80,13.00,12.60,12.80,4899541,62747.54,1.00,16.50,8.90,+0.10,+0.79
RCL,2023-01-26,31.75,31.75,31.75,31.00,31.25,2352538,73889.43,1.00,41.25,22.30,-0.50,-1.57
RJH,2023-01-26,30.75,30.75,30.75,30.50,30.50,89415,2733.42,1.00,39.75,21.60,-0.25,-0.81
ROJNA,2023-01-26,6.10,6.15,6.15,6.00,6.05,756169,4578.38,1.00,7.90,4.28,-0.05,-0.82
RS,2023-01-26,16.60,16.90,16.90,15.90,16.10,2482390,40411.37,1.00,21.50,11.70,-0.50,-3.01
S11,2023-01-26,5.20,5.25,5.25,5.15,5.25,159300,828.94,1.00,6.75,3.64,+0.05,+0.96
SABUY,2023-01-26,13.00,13.10,13.10,12.30,12.80,46926114,597315.67,1.00,16.90,9.10,-0.20,-1.54
SAPPE,2023-01-26,44.75,45.25,45.50,44.50,45.00,376045,16857.48,1.00,58.00,31.50,+0.25,+0.56
SAT,2023-01-26,21.50,21.50,21.50,21.10,21.10,1465304,31207.59,1.00,27.75,15.10,-0.40,-1.86
SAWAD,2023-01-26,53.25,53.25,53.75,52.75,52.75,5123728,272033.40,1.00,69.00,37.50,-0.50,-0.94
SC,2023-01-26,4.42,4.42,4.46,4.28,4.32,28871724,125670.31,1.00,5.70,3.10,-0.10,-2.26
SCB,2023-01-26,106.50,107.00,107.50,106.50,107.50,5807592,622467.18,10.00,138.00,74.75,+1.00,+0.94
SCC,2023-01-26,345.00,335.00,337.00,332.00,334.00,6401145,2142964.26,1.00,448.00,242.00,-11.00,-3.19
SCCC,2023-01-26,157.50,157.50,157.50,155.50,156.50,161648,25300.42,10.00,204.00,110.50,-1.00,-0.63
SCGP,2023-01-26,52.00,52.00,52.50,51.50,52.25,9054277,471086.66,1.00,67.50,36.50,+0.25,+0.48
SENA,2023-01-26,3.96,3.94,3.96,3.90,3.92,1904624,7476.93,1.00,5.10,2.78,-0.04,-1.01
SGP,2023-01-26,10.10,10.20,10.20,10.00,10.10,359448,3631.01,0.50,13.10,7.10,0.00,0.00
SINGER,2023-01-26,27.75,27.50,27.75,26.50,26.75,8010675,215788.84,1.00,36.00,19.50,-1.00,-3.60
SIRI,2023-01-26,1.75,1.75,1.75,1.72,1.72,86854081,150638.84,1.07,2.26,1.23,-0.03,-1.71
SIS,2023-01-26,28.50,28.50,28.50,27.50,28.25,335101,9407.90,1.00,37.00,20.00,-0.25,-0.88
SKN,2023-01-26,5.35,5.40,5.40,5.15,5.25,713237,3718.04,1.00,6.95,3.76,-0.10,-1.87
SKR,2023-01-26,13.70,13.70,13.70,13.50,13.70,140027,1899.53,0.50,17.80,9.60,0.00,0.00
SMPC,2023-01-26,13.40,13.40,13.40,13.10,13.10,487628,6438.96,1.00,17.40,9.40,-0.30,-2.24
SNC,2023-01-26,14.30,14.40,14.40,14.20,14.30,497144,7113.64,1.00,18.50,10.10,0.00,0.00
SPALI,2023-01-26,23.70,23.70,24.00,23.60,23.70,13216290,314372.56,1.00,30.75,16.60,0.00,0.00
SPC,2023-01-26,65.00,64.50,65.00,64.50,65.00,600,38.75,1.00,84.50,45.50,0.00,0.00
SPCG,2023-01-26,14.90,14.90,15.10,14.70,14.70,507389,7505.76,1.00,19.30,10.50,-0.20,-1.34
SPRC,2023-01-26,10.80,10.90,11.00,10.60,10.80,11334039,121901.84,6.92,14.00,7.60,0.00,0.00
SPRIME,2023-01-26,7.20,7.15,7.15,7.05,7.10,86800,616.42,9.38,9.35,5.05,-0.10,-1.39
SSP,2023-01-26,10.10,10.10,10.10,9.90,9.90,3880221,38689.57,1.00,13.10,7.10,-0.20,-1.98
STA,2023-01-26,22.20,22.30,22.90,21.90,22.70,17978000,405402.53,1.00,28.75,15.60,+0.50,+2.25
STANLY,2023-01-26,189.00,188.50,188.50,187.50,188.50,18323,3447.18,5.00,245.00,132.50,-0.50,-0.26
STARK,2023-01-26,2.98,3.00,3.08,2.98,3.06,74082127,224259.71,1.00,3.86,2.10,+0.08,+2.68
STEC,2023-01-26,14.20,14.10,14.30,13.80,13.80,11008817,153849.24,1.00,18.40,9.95,-0.40,-2.82
STGT,2023-01-26,10.50,10.50,10.90,10.40,10.60,16283682,174160.16,0.50,13.60,7.35,+0.10,+0.95
SUPER,2023-01-26,0.63,0.64,0.64,0.63,0.64,18820004,11993.80,0.10,0.81,0.45,+0.01,+1.59
SUPEREIF,2023-01-26,9.80,9.80,9.80,9.75,9.80,345587,3370.10,9.82,12.70,6.90,0.00,0.00
SVI,2023-01-26,9.90,9.90,10.00,9.65,9.75,5597480,54820.60,1.00,12.80,6.95,-0.15,-1.52
SYNEX,2023-01-26,16.30,16.20,16.40,15.80,15.90,2615823,41868.84,1.00,21.10,11.50,-0.40,-2.45
TASCO,2023-01-26,16.70,16.80,16.90,16.60,16.90,1932809,32481.49,1.00,21.70,11.70,+0.20,+1.20
TCAP,2023-01-26,42.50,42.50,43.00,42.50,42.75,963810,41163.33,10.00,55.25,29.75,+0.25,+0.59
TFFIF,2023-01-26,8.15,8.20,8.20,8.10,8.15,3156179,25709.29,9.96,10.50,5.75,0.00,0.00
TFG,2023-01-26,5.40,5.40,5.45,5.25,5.35,10538713,56120.46,1.00,7.00,3.78,-0.05,-0.93
THANI,2023-01-26,4.10,4.08,4.12,4.02,4.04,43326121,176223.42,1.00,5.30,2.88,-0.06,-1.46
THG,2023-01-26,68.50,68.50,69.00,68.50,68.75,2878862,198047.06,1.00,89.00,48.00,+0.25,+0.36
TIDLOR,2023-01-26,28.50,28.50,28.75,28.00,28.00,8064157,227823.34,3.70,37.00,20.00,-0.50,-1.75
TIPH,2023-01-26,51.00,51.00,51.50,49.75,50.00,2874999,144786.40,1.00,66.25,35.75,-1.00,-1.96
TIPCO,2023-01-26,9.05,9.10,9.10,9.00,9.00,106613,965.22,1.00,11.70,6.35,-0.05,-0.55
TISCO,2023-01-26,102.50,102.50,103.00,102.00,103.00,2814014,288598.02,10.00,133.00,71.75,+0.50,+0.49
TK,2023-01-26,8.60,8.50,8.65,8.50,8.60,297000,2541.04,1.00,11.10,6.05,0.00,0.00
TKN,2023-01-26,11.60,11.60,12.00,11.50,11.70,10475285,123095.76,0.25,15.00,8.15,+0.10,+0.86
TKS,2023-01-26,13.00,13.10,13.40,13.00,13.20,5930974,78244.37,1.00,16.90,9.10,+0.20,+1.54
TMT,2023-01-26,8.35,8.35,8.35,8.20,8.35,300115,2492.26,1.00,10.80,5.85,0.00,0.00
TMW,2023-01-26,37.25,36.75,37.25,36.75,37.25,4400,162.20,5.00,48.25,26.25,0.00,0.00
TOA,2023-01-26,34.00,34.00,34.25,33.25,33.50,3038002,101963.27,1.00,44.00,23.80,-0.50,-1.47
TOP,2023-01-26,58.75,58.75,58.75,57.50,58.00,8178548,474351.69,10.00,76.25,41.25,-0.75,-1.28
TPIPL,2023-01-26,1.82,1.82,1.83,1.79,1.81,18825990,33968.63,1.00,2.36,1.28,-0.01,-0.55
TPIPP,2023-01-26,3.46,3.46,3.46,3.42,3.46,5446151,18746.77,1.00,4.48,2.44,0.00,0.00
TQM,2023-01-26,41.75,41.75,41.75,40.75,41.25,2065745,85105.07,0.50,54.25,29.25,-0.50,-1.20
TR,2023-01-26,47.75,47.25,47.75,47.00,47.75,6301,297.80,1.00,62.00,33.50,0.00,0.00
TRUE,2023-01-26,4.90,4.92,4.92,4.88,4.88,28316221,138662.36,4.00,6.35,3.44,-0.02,-0.41
TSE,2023-01-26,2.50,2.52,2.52,2.48,2.52,5185311,12950.86,1.00,3.24,1.75,+0.02,+0.80
TSTH,2023-01-26,1.18,1.18,1.18,1.15,1.16,4489520,5210.67,1.00,1.53,0.83,-0.02,-1.69
TTA,2023-01-26,8.10,8.10,8.15,8.00,8.05,4270299,34425.72,1.00,10.50,5.70,-0.05,-0.62
TTB,2023-01-26,1.44,1.44,1.45,1.42,1.45,227398388,327361.57,0.95,1.87,1.01,+0.01,+0.69
TTLPF,2023-01-26,22.70,-,-,-,-,-,0,9.90,29.50,15.90,-,
TTW,2023-01-26,9.40,9.45,9.50,9.35,9.40,1984257,18668.34,1.00,12.20,6.60,0.00,0.00
TU,2023-01-26,16.10,16.10,16.20,16.00,16.10,10948091,176459.10,0.25,20.90,11.30,0.00,0.00
TVI,2023-01-26,13.00,13.00,13.00,12.20,12.50,896913,11232.58,1.00,16.90,9.10,-0.50,-3.85
TVO,2023-01-26,29.00,29.00,29.00,28.75,29.00,206239,5969.87,1.00,37.50,20.30,0.00,0.00
TYCN,2023-01-26,2.80,2.80,2.80,2.76,2.78,45400,125.97,7.50,3.64,1.96,-0.02,-0.71
UTP,2023-01-26,16.00,16.00,16.40,15.90,15.90,908436,14654.98,1.00,20.80,11.20,-0.10,-0.62
VGI,2023-01-26,4.68,4.70,4.74,4.62,4.64,24562495,114791.11,0.10,6.05,3.28,-0.04,-0.85
VIBHA,2023-01-26,2.72,2.70,2.72,2.68,2.70,2228442,5992.03,0.10,3.52,1.91,-0.02,-0.74
VNG,2023-01-26,5.75,5.75,5.80,5.60,5.65,785800,4444.12,1.00,7.45,4.04,-0.10,-1.74
WHA,2023-01-26,3.76,3.76,3.78,3.70,3.72,98586389,367362.61,0.10,4.88,2.64,-0.04,-1.06
WHAIR,2023-01-26,7.95,8.00,8.00,7.90,8.00,1326742,10589.24,8.86,10.30,5.60,+0.05,+0.63
WHART,2023-01-26,11.60,11.50,11.60,11.40,11.60,1794300,20604.03,9.02,15.00,8.15,0.00,0.00
WHAUP,2023-01-26,4.04,4.04,4.06,3.98,4.00,5174419,20758.77,1.00,5.25,2.84,-0.04,-0.99
WICE,2023-01-26,11.70,11.70,11.80,11.40,11.80,8869865,103217.00,0.50,15.20,8.20,+0.10,+0.85
WORK,2023-01-26,18.20,18.20,18.30,18.10,18.10,934019,17002.08,1.00,23.60,12.80,-0.10,-0.55
