Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
BEAUTY,sSET    ,1.41,1.60,1.21,999.99,5.88,299.42,4221.81,56.06,1.30
BEC,SET100    ,10.40,17.90,9.15,27.61,3.41,2000.00,20800.00,50.34,1.37
BEM,SET50 / SETTHSI / SETWB    ,10.00,10.10,7.90,68.58,4.05,15285.00,152850.00,708.76,0.70
BGC,sSET / SETCLMV / SETTHSI    ,10.20,10.80,9.55,13.93,1.58,3472.22,7083.33,4.88,0.52
BGRIM,SET50 / SETCLMV / SETTHSI    ,40.50,42.75,29.75,999.99,3.35,5213.80,105579.45,422.56,1.31
BH,SET50 / SETCLMV / SETWB    ,212.00,241.00,136.50,42.13,9.33,794.89,168515.78,625.62,0.49
BJC,SETCLMV / SETTHSI / SETWB    ,38.75,39.25,30.50,32.60,1.32,4007.80,155302.12,241.47,0.85
BKI,SETTHSI    ,294.00,295.00,263.00,999.99,0.95,1064.70,31302.18,10.66,0.28
BLA,SET100 / SETTHSI    ,29.75,48.00,27.00,15.84,1.22,1707.57,50800.09,126.67,0.71
BLAND,SET    ,1.05,1.10,0.94,17.92,0.41,17374.40,18243.12,19.56,0.64
BPP,SETCLMV / SETTHSI    ,17.40,17.40,13.90,8.43,1.03,30477.32,53030.53,29.60,0.83
BTS,SET50 / SETHD / SETTHSI / SETWB    ,8.65,10.20,7.85,39.59,1.86,52670.55,113900.07,201.56,0.85
BTSGIF,SET    ,3.84,4.36,3.72,999.99,0.58,53533.21,22225.92,26.54,0.43
CBG,SET50 / SETCLMV / SETTHSI / SETWB    ,101.00,116.00,80.25,40.55,9.82,1000.00,101000.00,397.25,1.22
CENTEL,SET50 / SETTHSI    ,52.00,53.00,33.50,1,333.56,3.80,1350.00,70200.00,223.38,0.98
CHG,SET100 / SETHD / SETWB    ,3.76,4.16,3.08,9.61,5.70,1100.00,41360.00,137.79,0.22
CK,SET100 / SETCLMV    ,22.70,24.80,17.90,34.48,1.54,1693.90,38451.46,160.86,0.81
CKP,SET100 / SETCLMV / SETTHSI    ,4.54,5.90,4.48,14.84,1.44,8129.38,36907.40,55.97,1.05
